Language,Sample,Word Count,Gen Time (s),Audio Duration (s),RTF,TTFB (ms),WER (%),Speaker Similarity
en_us,sample_1,18,1.106,7.89,0.1402,0.33,0.0,0.8927
en_us,sample_2,14,0.617,4.91,0.1257,0.34,0.0,0.867
en_us,sample_3,22,1.582,9.9,0.1598,0.46,0.0,0.7964
en_us,sample_4,21,0.933,7.26,0.1284,0.4,0.0,0.8578
en_us,sample_5,20,1.123,8.69,0.1293,0.39,0.0,0.804
hi_in,sample_1,22,1.612,10.24,0.1574,0.54,0.0,0.85
hi_in,sample_2,24,1.136,8.54,0.133,0.56,0.0,0.8957
hi_in,sample_3,25,1.48,10.86,0.1362,0.7,0.0,0.904
hi_in,sample_4,43,2.363,17.26,0.1369,0.76,0.0,0.8847
hi_in,sample_5,13,0.951,7.18,0.1324,0.43,0.0,0.9019
ar_eg,sample_1,20,1.857,13.9,0.1335,0.5,0.0,0.8779
ar_eg,sample_2,22,2.087,16.18,0.129,0.58,0.0,0.8071
ar_eg,sample_3,15,1.713,11.26,0.152,0.56,0.0,0.8321
ar_eg,sample_4,25,2.403,18.03,0.1332,0.63,0.0,0.8292
ar_eg,sample_5,5,0.498,3.68,0.1352,0.29,0.0,0.8634
